total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover
75.5,38.0,18.0,12.0,7.5,"['千張大戶持股比例近1週變化 +0.40 個百分點', '股東人數近1週變化 -1.02%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 6,216 張（約當期成交量 6.1%）', '近23個交易日融資餘額變化 -1.23%（下降代表籌碼較乾淨）', '近120個交易日內量增創高567.00元（16日前），目前拉回16.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約21.9%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬21.9%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3034,TWSE,472.0,42.90324032544437,53.851947149685124,-2.6118055674960075,0.21932105959025333,lower,neutral,True,16.75485008818342,21.939586645468996,聯詠,半導體業,7299.0,3811281009.0
70.0,36.5,14.0,12.0,7.5,"['千張大戶持股比例近1週變化 +0.03 個百分點', '股東人數近1週變化 +1.84%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 7,490 張（約當期成交量 3.9%）', '近23個交易日融資餘額變化 -25.97%（下降代表籌碼較乾淨）', '近120個交易日內量增創高617.00元（16日前），目前拉回38.6%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約22.5%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬53.1%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2492,TWSE,379.0,57.56010140263025,66.1432958337316,7.535525973565367,0.5314057231979518,lower,neutral,True,38.573743922204216,22.51984126984127,華新科,電子工業,13725.1,7007693901.0
67.0,33.5,20.0,6.0,7.5,"['千張大戶持股比例近1週變化 +0.47 個百分點', '股東人數近1週變化 -1.20%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 2,097 張（約當期成交量 5.2%）', '近23個交易日融資餘額變化 +5.55%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（50日前），目前拉回35.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約12.6%', '布林型態中性，無明顯訊號（帶寬18.6%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3665,TWSE,1910.0,62.34768623261771,63.058802788571285,-13.724309267484761,0.185537933376564,middle,neutral,True,35.034013605442176,12.55952380952381,貿聯-KY,其他電子業,2887.7,5702846741.0
65.5,24.5,16.0,10.1,15.0,"['千張大戶持股比例近1週變化 -0.30 個百分點', '股東人數近1週變化 -0.33%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 281 張（約當期成交量 -0.7%）', '近23個交易日融資餘額變化 -26.93%（下降代表籌碼較乾淨）', '近120個交易日內量增創高611.00元（50日前），目前拉回13.7%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約25.5%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬17.1%, 型態=normal, 位置=middle, 開喇叭=否）', '月線上揚，股價向上突破月線 -> 葛蘭碧買點①']",6789,TWSE,527.0,45.50307182056811,50.82057472330071,-1.189043921188737,0.1707826075094698,middle,buy_breakout,True,13.747954173486088,25.500667556742325,采鈺,半導體業,2763.1,1447226719.0
65.0,33.5,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.35 個百分點', '股東人數近2週變化 -1.65%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 5,864 張（約當期成交量 -1.1%）', '近23個交易日融資餘額變化 -18.78%（下降代表籌碼較乾淨）', '近120個交易日內量增創高354.00元（49日前），目前拉回13.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約15.9%', '布林型態中性，無明顯訊號（帶寬26.4%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2449,TWSE,307.0,41.89297674746916,48.66410015286156,0.0624711410489707,0.26393937184340655,middle,neutral,True,13.27683615819209,15.902140672782874,京元電子,半導體業,36587.4,11838448367.0
62.5,29.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.47 個百分點', '股東人數近2週變化 -3.03%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 6,908 張（約當期成交量 -1.3%）', '近23個交易日融資餘額變化 +2.21%（下降代表籌碼較乾淨）', '近120個交易日內量增創高85.40元（28日前），目前拉回28.5%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約24.4%', '布林型態中性，無明顯訊號（帶寬11.7%, 型態=normal, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2356,TWSE,61.1,44.45567476246673,48.76173061305658,0.7530368823173813,0.11742495779035605,lower,neutral,True,28.454332552693213,24.449152542372886,英業達,電子工業,38893.2,2587972343.0
62.5,30.5,10.0,10.1,12.0,"['千張大戶持股比例近1週變化 +0.32 個百分點', '股東人數近1週變化 -1.72%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 3,143 張（約當期成交量 1.3%）', '近23個交易日融資餘額變化 +2.30%（下降代表籌碼較乾淨）', '近120個交易日內量增創高417.00元（28日前），目前拉回8.6%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約17.4%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬6.1%, 型態=normal, 位置=upper, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",2382,TWSE,381.0,60.148980355617375,58.855564986868124,8.606313989120364,0.06061903761410007,upper,buy_support,True,8.633093525179856,17.44868035190616,廣達,電子工業,17196.4,6425431461.0
57.5,32.5,0.0,10.1,15.0,"['千張大戶持股比例近2週變化 +2.66 個百分點', '股東人數近2週變化 -3.75%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 19,519 張（約當期成交量 -2.2%）', '近23個交易日融資餘額變化 +39.51%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬29.6%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚，股價向上突破月線 -> 葛蘭碧買點①']",8150,TWSE,114.0,82.28203861641452,83.74633626151362,23.545986561664613,0.29567129835595707,middle,buy_breakout,False,2.564102564102564,27.35229759299781,南茂,電子工業,62741.5,6665167206.0
55.0,27.5,14.0,6.0,7.5,"['千張大戶持股比例近1週變化 -1.44 個百分點', '股東人數近1週變化 +1.54%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 8,069 張（約當期成交量 4.3%）', '近23個交易日融資餘額變化 -46.97%（下降代表籌碼較乾淨）', '近120個交易日內量增創高453.50元（10日前），目前拉回24.8%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約14.6%', '布林型態中性，無明顯訊號（帶寬36.8%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2472,TWSE,341.0,57.47554825792593,63.862827247677956,11.937848779954045,0.36767193191807057,middle,neutral,True,24.807056229327454,14.634146341463413,立隆電,電子工業,13549.9,5311573689.0
55.0,33.5,8.0,6.0,7.5,"['千張大戶持股比例近1週變化 +1.41 個百分點', '股東人數近1週變化 -6.84%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 550 張（約當期成交量 1.6%）', '近23個交易日融資餘額變化 +6.62%（下降代表籌碼較乾淨）', '近120個交易日內量增創高951.00元（24日前），目前拉回6.2%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約16.6%', '布林型態中性，無明顯訊號（帶寬19.8%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3167,TWSE,892.0,60.98551491033206,58.6913166383332,11.604629340006255,0.1984819813068104,upper,neutral,True,6.203995793901157,16.61409043112513,大量,電機機械,2476.3,2090596764.0
54.5,41.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.47 個百分點', '股東人數近2週變化 -0.80%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 151,928 張（約當期成交量 13.6%）', '近23個交易日融資餘額變化 -15.83%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬19.7%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2887,TWSE,36.15,89.90997721549073,91.78362554847746,29.705486619823585,0.19666201225196722,upper,neutral,False,1.8995929443690713,13.970588235294107,台新新光金,金融保險,79715.6,2692355587.0
54.5,41.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.56 個百分點', '股東人數近2週變化 -1.69%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 250,040 張（約當期成交量 25.5%）', '近23個交易日融資餘額變化 -26.46%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬15.6%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2618,TWSE,42.15,65.87119326309617,67.82784515997938,11.301822022709272,0.1561070629344444,middle,neutral,False,6.124721603563475,18.23899371069183,長榮航,航運業,69983.7,2965667892.0
